slug,vehicle_no,loading_out_time,unloading_in_time,origin,destination,consigner_code
CTCWDU00,GJ08Y9443,2020-07-14 17:30:11,2020-07-18 10:57:52,MERAMANDALI,AURANGABAD,BHUSHAN
CTOWDU00,GJ27V8230,2020-07-14 16:58:57,2020-07-15 21:49:21,MERAMANDALI,RAIPUR,BHUSHAN
CTLXDU00,AP39TC3169,2020-07-14 00:59:38,2020-07-18 07:36:44,MERAMANDALI,PENUGANCHIPROLU,BHUSHAN
CTMXDU00,OD04K3770,2020-07-14 16:58:22,2020-07-19 07:32:10,MERAMANDALI,AURANGABAD,BHUSHAN
CTXYDU00,OD28B3549,2020-07-14 20:26:56,2020-07-15 05:18:47,MERAMANDALI,CUTTACK,BHUSHAN
CTM6EU00,OD33T4749,2020-07-14 18:56:04,2020-07-15 05:40:14,MERAMANDALI,GOPINATHPUR-CUTTACK,BHUSHAN
CTZ9EU00,NL01Q6769,2020-07-15 01:06:52,2020-07-19 18:07:30,MERAMANDALI,TRICHUR,BHUSHAN
CT3AEU00,NL01L6429,2020-07-15 03:40:49,2020-07-19 18:07:49,MERAMANDALI,TRICHUR,BHUSHAN
CTK0FU00,RJ51GA0858,2020-07-15 07:57:37,2020-07-16 15:41:50,MERAMANDALI,NAGPUR,BHUSHAN
CTL0FU00,RJ27GC6642,2020-07-14 19:55:35,2020-07-19 08:10:19,MERAMANDALI,TALOJA,BHUSHAN
CTS2FU00,GJ08AU4527,2020-07-15 04:34:24,2020-07-17 06:12:09,MERAMANDALI,NAGPUR MAUZA,BHUSHAN
CTA8FU00,RJ04GB8227,2020-07-15 08:27:55,2020-07-18 07:43:07,MERAMANDALI,NANI DAMAN (UT),BHUSHAN
CTO8FU00,UP17AT7561,2020-07-15 00:18:11,2020-07-15 00:48:09,SAHIBABAD,NEW DELHI,BHUSHAN
CTR8FU00,UP14GT5149,2020-07-15 22:48:55,2020-07-16 05:04:58,SAHIBABAD,RUDRAPUR,BHUSHAN
CT69FU00,HR38R1152,2020-07-14 18:04:36,2020-07-14 23:32:41,SAHIBABAD,Delhi,BHUSHAN
CTB9FU00,HR55V1293,2020-07-15 01:28:19,2020-07-15 10:08:19,SAHIBABAD,Bawal,BHUSHAN
CTDDFU00,UP17AT5284,2020-07-15 15:46:27,2020-07-16 08:42:52,SAHIBABAD,REWARI-BAWAL,BHUSHAN
CTEDFU00,TN28BC4279,2020-07-15 17:52:52,2020-07-20 22:15:23,MERAMANDALI,"IRUMBANAM, ERNAKULAM",BHUSHAN
CT5EFU00,UP71AT0923,2020-07-15 03:54:37,2020-07-15 13:56:05,SAHIBABAD,SAMPLA,BHUSHAN
CT6EFU00,OD33T3449,2020-07-15 20:22:12,2020-07-16 09:26:20,MERAMANDALI,KHURDA,BHUSHAN
CT8EFU00,UP17T9893,2020-07-15 12:38:02,2020-07-17 03:46:09,SAHIBABAD,Kanpur,BHUSHAN
CT9EFU00,HR46C6165,2020-07-14 22:48:12,2020-07-15 00:13:09,SAHIBABAD,Ghaziabad,BHUSHAN
CTOFFU00,OD04K3360,2020-07-15 12:27:24,2020-07-21 08:15:22,MERAMANDALI,KERALA PALA,BHUSHAN
CTDIFU00,HR55AH7609,2020-07-15 04:04:04,2020-07-15 04:52:14,SAHIBABAD,Delhi,BHUSHAN
CTGIFU00,HR55M1515,2020-07-16 03:06:26,2020-07-16 05:37:33,SAHIBABAD,DELHI,BHUSHAN
CTJIFU00,MH06AQ4969,2020-07-15 07:36:41,2020-07-15 10:24:26,KHAPOLI,PUNE,BHUSHAN
CTZIFU00,HR55V5567,2020-07-15 04:47:51,2020-07-15 05:54:08,SAHIBABAD,Ghaziabad,BHUSHAN
CTBJFU00,HR38Y7293,2020-07-15 23:51:34,2020-07-16 03:14:46,SAHIBABAD,JHAJJAR,BHUSHAN
CTCLFU00,GJ01DX8934,2020-07-15 20:30:34,2020-07-17 01:40:13,MERAMANDALI,RAIPUR,BHUSHAN
CTDLFU00,RJ29GA5902,2020-07-14 19:40:46,2020-07-18 02:50:20,MERAMANDALI,HYDERABAD,BHUSHAN
CTWLFU00,RJ29GA5902,2020-07-14 19:40:46,2020-07-18 02:50:20,MERAMANDALI,HYDERABAD,BHUSHAN
CT1MFU00,RJ02GB7988,2020-07-15 08:03:43,2020-07-21 23:16:03,MERAMANDALI,Aluva,BHUSHAN
CT3MFU00,MH46BM2816,2020-07-16 03:18:04,2020-07-16 07:36:28,KHAPOLI,PUNE,BHUSHAN
CTBMFU00,RJ04GA5662,2020-07-14 23:55:59,2020-07-17 01:38:07,MERAMANDALI,NAGPUR MAUZA,BHUSHAN
CT4OFU00,GJ12AZ8587,2020-07-15 07:57:01,2020-07-17 02:59:13,MERAMANDALI,NAGPUR MAUZA,BHUSHAN
